מיומנות,רמת קושי,סוג מדיה,תוכן המדיה,השאלה,תשובה נכונה,משוב,מסיח א,מסיח ב,מסיח ג,משוב שלילי
זיהוי מטרה מרכזית,קלה,page,http://rr-d.vidnt.com/vod/aod/pas/240/26?path=&files[]=9-3-16.mp3&autoplay=true,האזן לשיחה המוקלטת. לשם מה החליטו במפעל הפיס להקליט שיחות של אנשים עם אראלה?,כדי לשכנע אנשים שהזכייה בפיס אפשרית,שיחה כזאת מעבר להזדהות וההתרגשות אכן גורמת לאנשים לחוש שזכייה היא דבר אפשרי.,כדי לגרום לאנשים להתרגש,כדי שאנשים ירגישו הזדהות עם הזוכים,כדי שאנשים יחשבו כיצד הם היו מגיבים לשיחה,נסו לחשוב אם יש מטרה אחת בולטת שהאחרות עשויות לשרת אותה.
זיהוי מטרה מרכזית,קלה,youtube,crs0TiiYE4I,לפניך סרטון קצר. צפה בו וענה על השאלה - מהי מטרתו המרכזית של יוצר הסרטון? ,לשכנע את הצופה לרכוש RC קולה," הצלחת לזהות שמדובר בטקסט פרסומי שמטרתו להניע את הצופים לרכוש ממוצרי RC קולה. פרטי משרד הפרסום שהופיעו בראשית הסרטון מסייעים להבנה שמדובר בפרסומת, ומכאן צריך רק לבדוק מה מנסים למכור לנו...",להדגים מה מוכן ילד לעשות כדי להרשים את חברתו,להראות את מידת היצירתיות של ילדים,להעביר מסר ללא מילים,הסרטון הציג אמנם את תשובתך אך לא זו הייתה מטרתו המרכזית. כדאי לחשוב: מי יצר את הסרטון? מהי הכותרת שלו? מה עשויה להיות מטרתו אם כך?
זיהוי מטרה מרכזית,קלה,youtube,rR3BlwTOvMQ,לפניך סרטון קצר. צפה בו. מה הקשר בין הפרסומת לבין המוצר שאותו היא מנסה למכור? ,"יש קשר. הפרסומת טוענת ששתיית מים תהפוך אותך צעיר, ומדגימה זאת.",יופי של תשובה! איתרת נכון את המסר הסמוי הקיים בפרסומת - הקישור בין סיסמת הפרסום לפרסומת עצמה.,"אין קשר. הפרסומת מצחיקה, ולכן גורמת לאנשים לצפות בה.","יש קשר. תינוקות הם קהל היעד העיקרי לצריכת מים מינרליים, ולכן מופיעים בפרסומת.","אין קשר. תינוקות הם חמודים ומושכים תשומת לב, ולכן משלבים אותם בפרסומות.",לא ממש. אמנם תינוקות הם חמודים והסרטון משעשע אבל כשמפרסם בוחר בתוכן מסוים - יש לכך קשר למטרתו. כדאי לחשוב מה מפרסמים כאן ומה המסר המועבר.
זיהוי מטרה מרכזית,קלה,img,img/selfie.jpg,לפניך פרסומת - מה היא המטרה העיקרית של יוצרי הפרסומת?,לעודד אנשים לרכוש תוצרת כחול לבן,"מצוין! זיהית שהמטרה בפרסומת היא לעודד רכישת מוצרים כחול לבן. הגיוני כשחושבים על כך שהיוצרים הם משרד הכלכלה,""מיוצר בישראל"" והתאחדות התעשיינים בישראל...",לגרום לאנשים להצטלם עם מוצרי כחול לבן,לשכנע אנשים להשתתף בתחרות סלפי כחול לבן,לגרום לאנשים להעלות תמונות סלפי לאתר התאחדות הסטודנטים,אמנם התשובה שציינת היא מטרה של יוצרי הפרסומת אך זו אינה מטרתם המרכזית.  כדאי לשים לב מי הם היוצרים של הפרסומת...
זיהוי מטרה מרכזית,בינונית,img,img/win.jpg,"לפניך קטע קצר הלקוח מאתר מפעל הפיס, קרא אותו ונסה לחשוב מדוע מופיע קטע כזה באתר מפעל הפיס?",כדי לשכנע אנשים שסיכויי הזכייה נמוכים,מפעל הפיס מנסה להבהיר שסיכויי הזכייה אינם גבוהים כדי להימנע מטענות עתידיות. ,כדי להציג את סיכויי הזכייה,כדי להציע דרכים לשפר את סיכויי הזכייה,כדי למנוע מאנשים להתלונן על כך שאינם זוכים,"מפעל הפיס הוא שפרסם את הדברים באתר, ולכן מן הסתם הם נועדו לשרת מטרה שלו. מה יכולה להיות מטרה זו?"
זיהוי מטרה מרכזית,קלה,img,img/good.jpg,לפניך כרזה שהתפרסמה בנקודות המכירה של מפעל הפיס. מה מטרתה?,לשכנע את רוכשי הכרטיסים שכספם יילך למטרות טובות.,אכן. אם לא הרווחת - לפחות תדע שהפסדת כסף למטרות טובות.,להציג את ההישגים של מפעל הפיס.,להראות עד כמה מפעל הפיס פעיל ומשפיע בתחומי החיים השונים.,לשכנע בחשיבות התרומה לקהילה.,מפעל הפיס אמנם תורם ומעורב אך מהי מטרתו באמירות אלו?
זיהוי מטרה מרכזית,בינונית,img,img/crime.jpg,מהי מטרתו המרכזית של כותב הקטע? ,לשכנע את המדינה שיש להתייחס לארגוני הפשע כאל ארגוני טרור ולפעול בהתאם,הכותב אכן פונה אל המדינה ודורש ממנה להפעיל צעדים חוקיים כדי להילחם בארגוני הפשיעה. ,להציג את העלייה בפעילותם של ארגוני פשע בישראל,להסביר כיצד ארגוני הפשע מסכנים את יציבותה של הדמוקרטיה,לגרום למערכת המשפט להחמיר בעונשם של עבריינים מארגוני הפשע,"כותב הקטע אכן מתייחס לתשובה שציינת, אך לא זו מטרת הטקסט שלו.  מומלץ לבחון שוב למי פונה הכותב בדבריו. "
זיהוי מטרה מרכזית,קלה,text,"לפניך קטע מתוך מאמר העוסק בוויקיפדיה שכותרתו ""ערכים עם ערך מפוקפק"": 
עורכי ויקיפדיה מצהירים בעצמם שהמידע המובא בה אינו בהכרח נכון: ""דע שמידע המובא בוויקיפדיה עלול להיות לא מדויק, מטעה, מסוכן או בלתי חוקי"", וכן ""חובה לבדוק ולאמת כל פרט מידע המובא דיה"".",לשם מה הביא הכותב ציטוטים אלה?,כדי לחזק את טענתו בדבר חוסר האמינות של ויקיפדיה.,"הכותרת מעידה על כוונתו של הכותב - הוא מפקפק בוויקיפדיה, והציטוטים מופיעים כדי לשרת את מטרתו.",כדי לשכנע אנשים להפסיק להשתמש בוויקיפדיה.,כדי להוכיח שוויקיפדיה מונעת משיקולים כלכליים.,כדי לעודד את המעוניינים לכתוב ערכים בוויקיפדיה.,נסה לחשוב על הקשר בין הכותרת לבין מטרתו של הכותב.
זיהוי מטרה מרכזית,קלה,text,"הודעה בסופרמרקט
אזהרה: אלרגיה לבוטנים עוגיות קרם לימון
תאריך האזהרה: 4 בפברואר
שם היצרן: מזון מובחר בע""מ
מידע על המוצר: עוגיות קרם לימון 125ג' (לשימוש עד ה-18 ביולי ולשימוש עד ה-1 ביולי)
פרטים: חלק מהעוגיות בקבוצות הייצור האלה עשויות להכיל חתיכות של בוטנים, שאינם מופיעים ברשימת המרכיבים. על אנשים הסובלים מאלרגיה לבוטנים להימנע מלאכול את העוגיות האלה. 
הנחיה לצרכן: אם קנית את העוגיות האלה תוכל להחזיר את המוצר לנקודת המכירה ולקבל תמורתו החזר כספי מלא. או להתקשר למספר 1-800-034-241 לקבלת מידע נוסף.",מה מטרת ההודעה?,להזהיר אנשים מפני העוגיות,המילה אזהרה מופיעה במפורש בתוכן ההודעה. לשם כך היא נוצרה.,לפרסם עוגיות קרם לימון,לספר לאנשים מתי הוכנו העוגיות,להסביר איפה אפשר לקנות עוגיות קרם לימון,אמנם מדובר בהודעה לצרכן המתפרסמת בסופרמרקט אך זו אינה פרסומת או הסבר כללי. נסו להיעזר בתוכן ההודעה כדי להבין את מטרתה.
זיהוי מטרה מרכזית,קלה,text,"הודעה בסופרמרקט
אזהרה: אלרגיה לבוטנים עוגיות קרם לימון
תאריך האזהרה: 4 בפברואר
שם היצרן: מזון מובחר בע""מ
מידע על המוצר: עוגיות קרם לימון 125ג' (לשימוש עד ה-18 ביולי ולשימוש עד ה-1 ביולי)
פרטים: חלק מהעוגיות בקבוצות הייצור האלה עשויות להכיל חתיכות של בוטנים, שאינם מופיעים ברשימת המרכיבים. על אנשים הסובלים מאלרגיה לבוטנים להימנע מלאכול את העוגיות האלה. 
הנחיה לצרכן: אם קנית את העוגיות האלה תוכל להחזיר את המוצר לנקודת המכירה ולקבל תמורתו החזר כספי מלא. או להתקשר למספר 1-800-034-241 לקבלת מידע נוסף.",מהי מטרת הסעיף פרטים?,להסביר מה לא בסדר בעוגיות,"הפרטים נועדו לפרט את הנאמר לפמי כן - במקרה שלנו תוכן האזהרה, ולכן הם נותנים מידע על הרכיבים הבעייתיים בעוגיות.",לפרסם סוגים שונים של עוגיות,לתאר מבצע המוצע לקונים את העוגיות,לפרט את המרכיבים של העוגיות,פרטים נועדו לפרט את הנאמר קדום להם. נסו לחזור אחורה ולאתר את מה מפרטים הפרטים. 
זיהוי מטרה מרכזית,קלה,text,"הודעה בסופרמרקט
אזהרה: אלרגיה לבוטנים עוגיות קרם לימון
תאריך האזהרה: 4 בפברואר
שם היצרן: מזון מובחר בע""מ
מידע על המוצר: עוגיות קרם לימון 125ג' (לשימוש עד ה-18 ביולי ולשימוש עד ה-1 ביולי)
פרטים: חלק מהעוגיות בקבוצות הייצור האלה עשויות להכיל חתיכות של בוטנים, שאינם מופיעים ברשימת המרכיבים. על אנשים הסובלים מאלרגיה לבוטנים להימנע מלאכול את העוגיות האלה. 
הנחיה לצרכן: אם קנית את העוגיות האלה תוכל להחזיר את המוצר לנקודת המכירה ולקבל תמורתו החזר כספי מלא. או להתקשר למספר 1-800-034-241 לקבלת מידע נוסף.","מדוע ההודעה כוללת את המילים ""לשימוש עד""?",כדי לזהות את קבוצת הייצור,"על המדף בסופר קיימות מן הסתם לא מעט עוגיות, ולכן יש חשיבות לזיהוי הנכון כדי שהצרכן יוכל להיזהר - זו הרי מטרת ההודעה.",כדי שידעו מתי פג תוקפן,כדי שהציבור יידע עד מתי לצרוך את העוגיות,כדי שהציבור יידע עד מתי ההודעה רלוונטית,לפרט שציינת יש חשיבות אך לא בהקשר של ההודעה הזאת.נסה להיעזרבמטרת ההודעה כדי לחשוב מהי חשיבות התאריך שצוין. 
הסקת מסקנות,קלה,text,"האופנוע
האם אי פעם התעוררת בתחושה שמשהו לא בסדר?
זה היה מין יום כזה בשבילי.
התיישבתי במיטה.
מעט אחר כך הזזתי את הווילונות.
היה מזג אוויר נורא – ירד גשם שוטף.
ואז הבטתי למטה לחצר.
כן! שם הוא עמד – האופנוע.
הוא היה הרוס בדיוק כפי שהיה אתמול בלילה.
והרגל שלי התחילה לכאוב.",משהו קרה לאדם שבסיפור בלילה הקודם. מה קרה?,אותו אדם עבר תאונת אופנוע.,"אם נתבונן ברמזים בטקסט - תחושה של משהו לא בסדר, האופנוע ההרוס, הרגל הכואבת - ונחבר הכל יחד נגיע לכך שאכן האדם עבר תאונת אופנוע.",מזג האוויר הסוער פגע באופנוע.,מזג האוויר הסוער מנע מאותו אדם לצאת החוצה.,אותו אדם קנה אופנוע חדש.,קרא בתשומת לב את הסיפור הקצר ונסה להבחין אילו רמזים נשתלים בתוכו.
הסקת מסקנות,קלה,text,"האופנוע
האם אי פעם התעוררת בתחושה שמשהו לא בסדר?
זה היה מין יום כזה בשבילי.
התיישבתי במיטה.
מעט אחר כך הזזתי את הווילונות.
היה מזג אוויר נורא – ירד גשם שוטף.
ואז הבטתי למטה לחצר.
כן! שם הוא עמד – האופנוע.
הוא היה הרוס בדיוק כפי שהיה אתמול בלילה.
והרגל שלי התחילה לכאוב.","""זה היה מין יום כזה בשבילי."" - איזה מין יום זה היה?",יום רע,"אוצר המילים המשמש את הכותב מצביע על האפיון - לא בסדר, נורא, הרוס, לכאוב - כל אלה מצביעים על יום רע. ",יום מרגש,יום משעמם,יום טוב,נסו להתבונן באוצר המילים המשמש את הכותב לתיאור היום ותחושותיו כדי להבין איזה מין יום זה היה בשבילו. 
הסקת מסקנות,קלה,text,"האופנוע
האם אי פעם התעוררת בתחושה שמשהו לא בסדר?
זה היה מין יום כזה בשבילי.
התיישבתי במיטה.
מעט אחר כך הזזתי את הווילונות.
היה מזג אוויר נורא – ירד גשם שוטף.
ואז הבטתי למטה לחצר.
כן! שם הוא עמד – האופנוע.
הוא היה הרוס בדיוק כפי שהיה אתמול בלילה.
והרגל שלי התחילה לכאוב.",מדוע המחבר מתחיל את הסיפור בשאלה?,כדי לעניין את הקורא בסיפור.,שאלה המופנית לקוראים יוצרת עניין ורצון להמשיך ולקרוא הלאה.,כי קשה לענות על השאלה.,כדי להזכיר לקורא שחוויה כזאת היא נדירה.,כי המחבר רוצה לדעת את התשובה.,המטרה של הכותב קשורה למתרחש אצל הקורא. מה קורה לקורא שנתקל בשאלה בתחילת טקסט? איך הדבר משפיע עליו?
הסקת מסקנות,קלה,text,"האופנוע
האם אי פעם התעוררת בתחושה שמשהו לא בסדר?
זה היה מין יום כזה בשבילי.
התיישבתי במיטה.
מעט אחר כך הזזתי את הווילונות.
היה מזג אוויר נורא – ירד גשם שוטף.
ואז הבטתי למטה לחצר.
כן! שם הוא עמד – האופנוע.
הוא היה הרוס בדיוק כפי שהיה אתמול בלילה.
והרגל שלי התחילה לכאוב.","בשורה 7 כתוב: ""כן!"" - מדוע האדם שבסיפור אומר זאת?",האדם נזכר למה משהו נראה לו לא בסדר.,"""כן!"" היא תשובה לשאלה המופיעה בראש הטקסט. ",האדם השיג משהו שקשה להשיגו.,האדם מבין עכשיו שהיום לא יהיה גרוע כל כך.,האדם שמח לראות שוב את האופנוע.,"חזרו שוב אל השאלה בראש הטקסט, ונסו להיעזר בה כדי להבין מדוע האדם אומר ""כן!""."
רעיון מרכזי,קלה,text,"צחצוח שיניים
האם השיניים שלנו נעשות נקיות יותר ויותר ככל שאנחנו מצחצחים אותן חזק יותר ובמשך זמן רב יותר?
חוקרים בריטיים טוענים שלא. הם אפילו ניסו אפשרויות רבות ושנות ולבסוף מצאו את הדרך המושלמת לצחצוח השיניים. צחצוח של שתי דקות, בלי לצחצח חזק מדי, מביא לתוצאה הטובה ביותר. אם מצחצחים חזק, הורסים את ציפוי השן ואת החניכיים בלי להסיר שאריות אוכל או רובד פלאק.  
בנטה הנסן, מומחית לצחצוח שיניים, אומרת שזה רעיון טוב להחזיק את מברשת השיניים בצורה שבה אוחזים בעט. ""התחילו בפינה אחת וצחצחו לאורך כל השורה"", היא אומרת, ""אל תשכחו את הלשון! היא יכולה להכיל המון חיידקים שעלולים לגרום לריח רע מהפה.""
(מאמר מכתב עת נורבגי)",במה עוסק המאמר?,הדרך הטובה ביותר לצחצח שיניים,"פעמים רבות הרעיון המרכזי נרמז כבר בכותרת ובפתיח, וזהו אכן הרעיון המרכזי.",מברשת השיניים הטובה ביותר לשימוש.,החשיבות של שיניים בריאות.,הדרך שבה אנשים שונים מצחצחים שיניים.,מומלץ להתבונן על הכותרת ועל פסקת הפתיחה - הדבר עשוי להקל על זיהוי רעיון מרכזי.
